id,first_name,last_name,date_of_birth,ethnicity,gender,status,entry_academic_period,exclusion_type,act_composite,act_math,act_english,act_reading,ECA,sat_math,sat_verbal,sat_reading,gpa,hs_city,hs_state,hs_zip,email,entry_age,ged,english_2nd_language,first_generation
111111,John,Doe,Jan-00,Hispanic,M,FT,Fall 2008,,,,,,9,,,,2.71,Albuquerque,New Mexico,87112,jdoe@example.com,17.9,FALSE,FALSE,TRUE
111112,Jane,Smith,1-May,Hispanic,F,TRANSFER,Fall 2006,,,,,,5,,,,3.73,New York,New York,10009,jsmith@example.com,18.1,FALSE,FALSE,TRUE
111113,Sarah,Thomas,21/2002,Hispanic,M,FTFT,Fall 2006,,14,6,5,3,2,,,,2.64,Pheonix,Arizona,85006,sthomas@example.com,17.6,FALSE,FALSE,FALSE
111114,Frank,Brown,13/2002,Race/ethnicity unknown,M,FTFT,Fall 2006,,,,,,4,520,510,210,3.68,Pheonix,Arizona,85015,fbrown@example.com,19,TRUE,FALSE,TRUE
111115,Mike,Davis,31/2001,White,F,FTFT,Fall 2007,,22,12,5,5,8,,,,3.97,Seattle,Washington,98106,mdavis@example.com,18.2,FALSE,TRUE,FALSE
111116,Jennifer,Wilson,2-Jan,Asian,M,TRANSFER,Fall 2006,,,,,,7,,,,3.24,Denver,Colorado,80012,jwilson@example.com,18.5,TRUE,FALSE,TRUE
111117,Jessica,Garcia,Jan-00,White,F,FTFT,Fall 2007,,25,10,5,10,10,,,,2.45,Austin,Texas,78703,jgarcia@example.com,18.8,FALSE,FALSE,FALSE
111118,Fred,Clark,17/1999,Hispanic,F,FTGRAD,Fall 2010,,21,4,10,7,5,,,,2.54,Denver,Colorado,80033,fclark@example.com,19.2,FALSE,TRUE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,1,110,400,220,4,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,2,110,400,220,2.8,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,3,110,400,220,3.67,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,4,110,400,220,1.9,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,5,110,400,220,3.6,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,6,110,400,220,3.5,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,7,110,400,220,1.9,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,8,110,400,220,2.5,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,9,110,400,220,2.4,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,10,110,400,220,3.2,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,1,110,400,220,3.12,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,2,110,400,220,3,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,3,110,400,220,2.45,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,4,110,400,220,1.9,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,5,110,400,220,3.9,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,6,110,400,220,3.44,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,7,110,400,220,3.12,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,8,110,400,220,2.5,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,9,110,400,220,3.45,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,10,110,400,220,1.89,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
111119,Bob,Lopez,Apr-98,White,F,FTFT,Fall 2007,,15,5,5,5,1,110,400,220,3.24,Denver,Colorado,80122,blopez@example.com,18.5,FALSE,FALSE,TRUE
